Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Communities for Renewables CIC,http://cfrcic.co.uk,https://communityenergyengland.org/files/img_cache/2154/340_260_1674829493_communitiesforrenewables.png?1674829503,"Since setting up in 2012, CfR has worked with local energy enterprises in over 40 localities, from villages to cities, to help deliver community energy generation ranging from solar installations on school roofs to one of the largest community solar farms in the UK. CfR's expertise spans the entire process of MW-scale renewable energy project management, from business planning and feasibility development to construction, financing and operation.",,TR16 5EZ,50.254942,-5.194667
Community Action Northumberland (CAN),http://ca-north.org.uk/,https://communityenergyengland.org/files/img_cache/2169/340_260_1675180909_NorthumberlandCAN.png?1675181151,"Our vision is rural communities in Northumberland will be vibrant, inclusive, sustainable and resilient. We aim to:

Promote Rural Issues – Providing and supporting a ‘rural voice’ to influence policy, programmes and action.
Empower Communities – Supporting and developing local communities, their key groups and organisations.
Deliver solutions – Identifying, developing and managing projects to address the needs of individuals.",,NE61 6UF,55.180279,-1.648528
Community Energy Barnet,http://www.communityenergybarnet.org/,https://communityenergyengland.org/files/img_cache/2822/340_260_1736846170_CommunityEnergyBarnetOriginal3.jpeg?1736847042,Community energy group in Barnet aiming to accelerate transition to renewable energy through installation of rooftop solar owned by the community.,"8th Floor, Blue Star House, 234-244 Stockwell Road, London",SW9 9SP,51.464706,-0.115104
Community Energy Birmingham,http://www.communityenergybirmingham.coop,https://communityenergyengland.org/files/img_cache/2172/340_260_1675180978_CommunityEnergyBirmingham.png?1675181151,"We are a Society for Community Benefit. Our primary aim is to reduce carbon emissions in Birmingham. We do this by raising money to invest in renewable energy systems on community buildings, such as solar PV. This benefits the community organisations by reducing their energy bills and making them more sustainable. In turn  this benefits the local communities which they serve: at present these are Moseley, and Sparkbrook, but we are actively looking for opportunities in other parts of the city.",,B13 8JP,52.44592,-1.889287
Community Energy Colchester,https://www.communityenergycolchester.co.uk/,https://communityenergyengland.org/files/img_cache/2535/340_260_1706002273_CommunityEnergyColchester.png?1706019089,"Working together to reduce energy use and generate low carbon heat and power:

- We offer energy efficiency advice to save money and stay warm, focusing on repair, reuse, and sustainable energy practices.
- Collaborating with community energy groups and local people to implement net-zero strategies and generate renewable energy.","5 Sandford Close, Wivenhoe, Colchester",CO7 9NP,,
Community Energy Cumbria,http://www.communityenergycumbria.co.uk/,https://communityenergyengland.org/files/img_cache/2174/340_260_1675181108_Communityenergycumbria.jpg?1675181151,"Community Energy Cumbria gives you an opportunity to invest in community-owned renewable energy.

Two schemes are now operational and we hope to develop more opportunities for community owned energy in our fabulous County in the future.

If you have potential for larger scale renewable energy on your property, and would like the investment to be local, and to provide community benefit, then please get in touch.",,CA11 8ET,54.662126,-2.748675
Community Energy Leighton Linslade,https://www.facebook.com/groups/1771381629773432/,https://communityenergyengland.org/files/img_cache/2006/340_260_1669907342_LeightonLinslade.png?1669931624,"The objective of this group is to encourage an open and constructive discussion on renewable electricity, renewable heat, energy efficiency and climate change, with a focus on our local community. We encourage members to post news stories, documents and science based publications and questions can be asked publicly. It should be a page where we can share and gain knowledge, to the benefit of individuals and the wider community alike.
",,LU7 4RW,51.912081,-0.631669
Community Energy London,http://communityenergy.london/,https://communityenergyengland.org/files/img_cache/2175/340_260_1675181145_CommunityEnergyLondon.png?1675181151,"We’re a varied bunch; some of us are driven by the desire to mitigate dangerous climate change, others want to eradicate fuel poverty in London: The one thing we have common? We’re all trying to make a difference and improve our city!",,E8 1EA,51.545032,-0.056434
Community Energy Newham,https://www.repowering.org.uk/newham/,https://communityenergyengland.org/files/img_cache/2617/340_260_1716288541_CommunityEnergyNewham.png?1716288555,"Community Energy has come to Newham

Together with local people Repowering London has brought community-owned solar energy to Newham, working directly with and for residents to drive action on climate change and create stronger social ties across the borough. ",,SW9 9SP,51.464706,-0.115104
Community Energy Ovingdean,,,,,,,
Community Energy Pathways,https://communityenergypathways.org.uk/,https://communityenergyengland.org/files/img_cache/1916/340_260_1740146550_CommunityEnergyPathways.png?1740151411,"Enabling local people and local authorities to scale up the community energy sector

Community Energy Pathways is the new name for Community Energy South. Our support across the Southeast continues as we invite nationwide communities and local authorities to get in touch and participate in the future of energy.",,BN7 2LX,50.873469,0.012064
Community Energy Preston,https://communityenergypreston.co.uk/,https://communityenergyengland.org/files/img_cache/2562/340_260_1710184752_CommunityEnergyPrestonScreenshot2024-03-11191519.png?1710184771,"Our aim is to develop locally owned, renewable energy in Preston and the wider North West of England. Community Energy Preston will help tackle climate change through increased renewable energy. We believe that this renewable energy generation should be locally owned, with the benefits flowing back into Preston!",,PR1 2HE,53.761338,-2.707384
Community Energy Scotland,https://communityenergy.scot/,https://communityenergyengland.org/files/img_cache/2312/340_260_1714662614_CES_logo_EnglishGaelic1.jpg?1714662634,Community Energy Scotland supports Scottish communities with expert advice to develop and manage renewable energy projects for sustainable solutions.,,IV2 3DU,57.476669,-4.224
Community Energy Wales,https://communityenergy.wales/,https://communityenergy.wales/dist/images/logo.svg,"Community Energy Wales is a not for profit membership organisation that provides assistance and a voice to community groups working on energy projects in Wales. We want to help create the conditions in Wales that allow community energy projects to flourish, and communities to prosper.

Our vision: people should be at the heart of the energy system.

Our mission: To support and accelerate the transition to a fair, low carbon and community-led energy system.",,CF24 4HQ,51.493078,-3.184173
