Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Ardentinny Community Council,community-energy-related,https://www.ardentinnycc.co.uk,Not Found on Website,Ardentinny Community Council serves the local community by representing their interests and addressing local issues.,Not Found,PA23 8TR,56.035447,-4.945892
Ardgay Public Hall,community-energy-member,https://www.ardgayhall.co.uk,Not Found on Website,"Ardgay & District Community Hall provides a versatile venue for local events, meetings, and community activities.","Ardgay Public Hall, Ardgay",IV24 3BG,57.771905,-4.395726
Ardgour Memorial Hall,community-energy-member,https://www.coast.scot/stories/ardgour-memorial-hall/,Not Found on Linked Page,"A community hall serving the Ardgour area, providing a venue for local events and gatherings.","Ardgour Memorial Hall, Ardgour, Fort William",PH33 7AA,56.685324,-5.201764
Ardnamurchan Lighthouse Trust,community-energy-member,https://www.ardnamurchanlighthouse.com,https://www.ardnamurchanlighthouse.com/wp-content/themes/ardnamurchanlighthouse/images/logo.png,Ardnamurchan Lighthouse Visitor Centre and Trust manages the lighthouse as a tourist attraction and maintains its historical significance.,"Ardnamurchan Lighthouse, Ardnamurchan",PH36 4LN,56.732386,-6.230752
Ardoch Development Trust,community-energy-group,https://www.ardochtrust.org.uk,https://ardochtrust.org.uk/wp-content/uploads/2018/01/ardoch-trust-logo.png,Ardoch Trust is a charity supporting children and young people with life-limiting illnesses and their families.,"Ardoch Trust, Ardoch, Braco",FK15 9PA,56.242407,-3.86438
Ardrishaig Community Trust,community-energy-related,https://www.ardrishaig.org,Not Found on Website,"Ardrishaig Community Trust works to develop and improve the village of Ardrishaig, focusing on local amenities and community projects.",Not Found,PA30 8EY,56.015243,-5.420689
Ardrossan Church of the Nazarene,community-energy-related,https://www.nazarene-ardrossan.co.uk,https://www.nazarene-ardrossan.co.uk/wp-content/uploads/2020/06/cropped-nazlogo.png,Ardrossan Church of the Nazarene is a local church offering worship services and community activities.,"Sorbie Rd, Ardrossan",KA22 8EP,55.632943,-4.793739
"Argyll, Lomond and the Islands Energy Agency (ALIenergy)",community-energy-group,https://www.alienergy.org.uk,https://www.alienergy.org.uk/files/AlienergyLogo.png,ALIenergy is a Highlands and Islands charity promoting renewable energy and energy efficiency to combat climate change and fuel poverty.,"The Greenhouse, 20 South Beach Street, Stornoway",HS1 2DP,58.209675,-6.386043
Arisaig Community Trust,community-energy-group,https://www.arisaigcommunitytrust.org.uk,https://www.arisaigcommunitytrust.org.uk/wp-content/uploads/2021/04/Arisaig-Logo.png,"The Arisaig Community Trust works for the social, environmental and economic development of the Arisaig area, including managing local assets.",Not Found,PH39 4NP,56.918903,-5.845876
Arran Community Council,community-energy-related,https://www.arrancommunitycouncil.org.uk,Not Found on Website,"Arran Community Council is the primary tier of local governance on the Isle of Arran, representing community interests.",Not Found,KA27 8AU,55.556277,-5.228941
Arran Community Renewables Ltd,community-energy-group,https://www.arranrenewables.com/,https://www.arranrenewables.com/wp-content/uploads/2022/02/Arran-Renewables-Logo.png,Arran Community Renewables Ltd is a community benefit society aiming to develop renewable energy projects on Arran.,Not Found,KA27 8AU,55.556277,-5.228941
Arran EcoSavvy Community,community-energy-group,https://www.arranecosavvy.org.uk,https://www.arranecosavvy.org.uk/wp-content/uploads/2018/05/logo_eco_savvy.png,"Arran Eco Savvy is a community-led climate action group focusing on various sustainability initiatives, including reducing waste and promoting local energy.","Eco Savvy Community Hub, Shore Street, Whiting Bay",KA27 8QN,55.5186,-5.1326
Arrocher & Tarbet Community Development Trust,community-energy-group,http://www.threevillages.org.uk/info/error/,Not Found on Website,"The Arrochar & Tarbet Community Development Trust works to improve the villages of Arrochar, Tarbet & Succoth.",Not Found,G84 0NX,56.196307,-4.73356
Assynt Development Trust,community-energy-group,https://www.assyntdevelopmenttrust.org/,https://www.assyntdevelopmenttrust.org/wp-content/uploads/2019/04/Assynt-Development-Trust-Logo.png,"The Assynt Development Trust works for the economic, social, and environmental development of the Assynt area in Sutherland.","Old School House, Lochinver, Sutherland",IV27 4SX,58.151745,-5.244901
Assynt Foundation,community-energy-group,https://www.assyntfoundation.scot/,https://www.assyntfoundation.scot/wp-content/uploads/2020/09/AF-Logo-2020.png,"A community land-owning charity managing the former Assynt Crofters' Estate for the benefit of the local community, promoting sustainable land use.",Not Found,IV27 4EU,58.20455,-5.074719
"Auchindrain Trust, The",community-energy-group,https://www.auchindrain.org.uk,https://www.auchindrain.org.uk/wp-content/uploads/2018/03/Auchindrain-Logo.png,"Auchindrain is Scotland's last remaining original Highland Farm Township, preserved as a living history museum.","Auchindrain, By Inveraray",PA32 8WD,56.0967,-5.074719
Auchinleck Community Development Initiative,community-energy-group,https://www.auchinleckacdi.co.uk,Not Found on Website,Auchinleck Community Development Initiative works to improve facilities and opportunities in Auchinleck.,Not Found,KA18 2AR,55.452936,-4.331563
Aviemore Sports Centre,community-energy-member,Not Found,Not Found,A sports facility providing various activities and amenities for the community in Aviemore.,Not Found,Not Provided,Not Provided,Not Provided
Balerno Village Trust,community-energy-group,https://balernovt.org.uk/,https://balernovt.org.uk/wp-content/uploads/2020/02/BVT_logo_new.png,"Balerno Village Trust is a community-led organization working for the benefit of the Balerno village, focusing on local projects and amenities.","Old School, Main Street, Balerno",EH14 7DN,55.8791,-3.3228
Ballachulish and Glencoe Community Company,community-energy-group,https://www.facebook.com/profile.php?id=100064537308827,Not Found,A community company focused on development and improvement initiatives in the Ballachulish and Glencoe areas.,Not Found,Not Provided,Not Provided,Not Provided
Balmullo Village Hall Organisation,community-energy-group,https://www.balmullocommunity.co.uk/village-life/burnside-hall/,Not Found on Website,"Manages the Burnside Hall, providing a venue for local events and community activities in Balmullo.","Burnside Hall, Balmullo",KY16 0AL,56.375685,-2.929875
Barra & Vatersay Community Buy Out Steering Group,community-energy-group,Not Found,Not Found,A steering group involved in community land buyout initiatives for Barra and Vatersay.,Not Found,Not Provided,Not Provided,Not Provided
Barra and Vatersay Community Limited,community-energy-group,http://www.cbab.org.uk/,http://www.cbab.org.uk/wp-content/uploads/2021/06/logo_cbab-02-1.png,Barra and Vatersay Community Limited focuses on community development and local initiatives (listed on a community business alliance site).,Not Found,HS9 5YD,56.9858,-7.4429
Barvas and Brue Community Centre,community-energy-group,https://www.facebook.com/BarvasBrueCentre/,Not Found on Facebook Page,"A community centre serving the Barvas and Brue areas, providing facilities for local events and groups.",Not found on Facebook page,HS2 0RF,58.2917,-6.4716
Bays of Harris Steering Group,community-energy-group,https://www.facebook.com/baysofharris/,Not Found on Facebook Page,A steering group focused on community development and local issues in the Bays of Harris area.,Not found on Facebook page,HS3 3HD,57.77,-6.86
BCCF Environmental,community-energy-group,Not Found,Not Found,An environmental initiative likely focused on projects within Fife (details not available).,Not Found,Not Provided,Not Provided,Not Provided
Beattock Station Action Group,community-energy-member,https://www.beattockstationactiongroup.org.uk,https://www.beattockstationactiongroup.org.uk/wp-content/uploads/2020/06/beattock-station-logo.png,A community group working to restore and revive Beattock railway station for community benefit and heritage preservation.,"Beattock Station, Beattock",DG10 9QU,55.27599,-3.447545
Beeswing Community Council,community-energy-related,Not Found,Not Found,"A community council serving the Beeswing area, representing local interests and addressing community issues.",Not Found,Not Provided,Not Provided,Not Provided
Bellshill and Mossend YMCA,community-energy-member,https://www.ymcabellshill.org,https://www.ymcabellshill.org/wp-content/uploads/2019/04/YMCA-Bellshill-Logo.png,"YMCA Bellshill provides community services and youth work, focusing on social development and support for young people.",Not Found,ML4 3NX,55.795,-3.967
Benmore & Kilmun Community Development Trust,community-energy-member,https://www.benmorekilmun.org,Not Found on Website,"Benmore & Kilmun Community Development Trust works for the development of the local area, focusing on community assets and projects.",Not Found,PA23 8QU,56.027,-4.908
Bernera Community Association,community-energy-group,https://www.facebook.com/BerneraCommunityAssociation/?locale=en_GB,Not Found on Linked Site,A not-for-profit charity that works for the benefit of the residents of Great Bernera and Tir Mor.,"Bernera Museum, Great Bernera",HS2 9QB,58.1994,-6.9536
Berneray Community Association,community-energy-member,https://www.isleofberneray.com,Not Found on Website,"The official website for the Isle of Berneray, providing information for residents and visitors, and promoting local services.",Not Found,HS6 5BQ,57.7317,-7.1595
Berwickshire Housing Association,community-energy-member,https://www.berwickshirehousing.org.uk,https://www.berwickshirehousing.org.uk/app/uploads/2023/07/BHA-Logo-Colour-Web.png,Berwickshire Housing Association provides affordable housing and related community services in the Scottish Borders.,"55 Newton St, Duns",TD11 3DT,55.7797,-2.3444
Bhaltos Community Trust,community-energy-group,https://www.bhaltostrust.co.uk,https://www.bhaltostrust.co.uk/wp-content/uploads/2020/04/bhaltost-trust-logo.png,"Bhaltos Trust works for the social, economic, and environmental well-being of the Bhaltos area on the Isle of Lewis.","Bhaltos Community Trust, Bhaltos, Uig",HS2 9QB,58.1994,-6.9536
Biggar Theatre Workshop Limited,community-energy-member,https://www.biggarcornexchange.org.uk,https://www.biggarcornexchange.org.uk/wp-content/uploads/2017/01/Biggar-Corn-Exchange-Logo-Transparent.png,"Biggar Theatre Workshop is likely a part of the Biggar Corn Exchange, a community venue hosting diverse events.","High St, Biggar",ML12 6DH,55.6264,-3.5358
"Birchvale Players, The",community-energy-member,https://www.birchvale.scot/,Not Found on Website,"Birchvale is a community space and arts venue in Aberfeldy, hosting events, workshops, and providing facilities for local groups, including likely a theatre group.","Birchvale, Aberfeldy",PH15 2BB,56.6186,-3.8744
Bishopton Community Council,community-energy-related,Not Found,Not Found,A local community council representing the interests of Bishopton residents.,Not Found,PA7 5JE,55.908,-4.542
Black Isle Partnership,community-energy-group,https://www.black-isle.info/black-isle-partnership,Not Found on Website,A partnership promoting the sustainable development and well-being of the Black Isle.,Not Found,IV10 8UJ,57.5756,-4.1873
Blairgowrie & Rattray Regeneration Company,community-energy-group,https://www.brdt.org.uk/,https://www.brdt.org.uk/wp-content/uploads/2019/08/BRDT-Logo-Small.png,Focused on the regeneration and development of Blairgowrie & Rattray for community benefit.,Not Found,PH10 6HT,56.586,-3.342
Blairtummock Housing Association,community-energy-member,https://www.blairtummock.org.uk,https://www.blairtummock.org.uk/wp-content/uploads/2021/04/Blairtummock-Logo.png,Provides affordable housing and aims to improve the quality of life for its residents in the Easterhouse area of Glasgow.,"100 Birniehill Road, Easterhouse, Glasgow",G33 4ES,55.86438,-4.10302
Boat Of Garten Community Hall,community-energy-member,https://www.boatofgarten.com/boat-hall,Not Found on Website,"A community hall serving Boat of Garten, providing a venue for local events and activities.","Boat of Garten Community Hall, Craigie Avenue, Boat of Garten",PH24 3BL,57.241517,-3.766324
Bon Accord Heritage,community-energy-member,https://www.bonaccordbaths.org.uk,https://www.bonaccordbaths.org.uk/wp-content/uploads/2016/09/BAB-Logo-Final-small.jpg,A community trust working to restore and reopen the historic Bon Accord Baths in Aberdeen as a public swimming and leisure facility.,"Bon Accord Baths, Justice Mill Lane, Aberdeen",AB11 6PB,57.142491,-2.105436
Bonar Bridge Community Hall,community-energy-member,https://www.bonarbridgecommunityhall.org.uk,Not Found on Website,"Provides a venue for local events, meetings, and community activities in Bonar Bridge and District.","Bonar Bridge Community Hall, Main Street, Bonar Bridge",IV24 3EB,57.900977,-4.373739
Breadalbane Development Association,community-energy-group,https://communityenergy.scot/member/breadalbane-development-association/,Not Found,"A development trust focused on driving forward economic, social, and environmental initiatives in the Breadalbane area.",Not Found,PH15 2BB,56.6186,-3.8744
Broadford & Strath Community Company,community-energy-group,https://www.broadfordandstrath.org,https://www.broadfordandstrath.org/wp-content/uploads/2019/04/BSCC_LOGO_black.png,A community company working to improve the quality of life and opportunities for residents in Broadford and Strath.,"Broadford and Strath Community Company, Broadford",IV49 9AA,57.26,-5.9
Brora Primary Parent Council,community-energy-related,Not Found,Not Found,"The parent council for Brora Primary School, supporting the school and pupils.","Brora Primary School, Brora",KW9 6NS,58.016,-3.965
Burnfoot Community Council,community-energy-related,Not Found,Not Found,"A community council serving the Burnfoot area, representing local interests and addressing community issues.",Not Found,TD9 8EB,55.568,-2.793
Burray Community Association,community-energy-group,https://www.orkneycommunities.co.uk/burray/,Not Found on Linked Page,"A community association supporting and organizing activities for the residents of Burray, Orkney.","Burray Public Hall, Burray, Orkney",KW17 2SS,58.85,-2.9
C.A.T.C.H. Loch Leven,community-energy-group,https://www.catch-lochleven.org,https://www.catch-lochleven.org/wp-content/uploads/2019/06/CATCH-Loch-Leven-Logo-Colour.png,A charity dedicated to the conservation and restoration of Loch Leven and its surrounding environment.,"The Old Schoolhouse, Kinross",KY13 8EW,56.2081,-3.4217
Cabrach Community Development Trust,community-energy-group,https://www.cabrachtrust.org/,https://www.cabrachtrust.org/wp-content/uploads/2019/04/Cabrach-Trust-Logo.png,"Dedicated to the social, economic, and environmental regeneration of the Cabrach area.","Old School, Cabrach",AB38 9HT,57.378,-3.08
Caledonian Youth Club,community-energy-member,https://www.caledonianyc.co.uk/,https://www.caledonianyc.co.uk/wp-content/uploads/2019/04/CYC-Logo.png,A youth club providing activities and support for young people in South Ayrshire.,"Caledonian Youth Club, 20 Caledonian Road, Ayr",KA7 2TY,55.4578,-4.6291
Callander Community Development Trust,community-energy-group,https://www.incallander.co.uk/ccdt_home,Not Found on Website,"A trust focused on enhancing the social, environmental, and economic well-being of the Callander area.",Not Found,FK17 8EB,56.244,-4.218
Callander Community Hydro Limited,community-energy-group,https://www.incallander.co.uk/ccdt_hydro_ltd,Not Found on Website,A community-owned hydro-electric project generating renewable energy and community benefit funds for Callander.,Not Found,FK17 8EB,56.244,-4.218
Camphill Blair Drummond Trust Limited,community-energy-group,https://www.camphillblairdrummond.org.uk/about-us/,https://www.camphillblairdrummond.org.uk/wp-content/uploads/2017/04/Camphill-Blair-Drummond-Logo.png,"Provides a home, education, and meaningful work for children and adults with learning disabilities and other special needs.","Blair Drummond House, Blair Drummond, Stirling",FK9 4UT,56.126,-4.026
Camphill Scotland,community-energy-group,https://camphillestates.org.uk/,https://www.camphillscotland.org.uk/wp-content/uploads/2019/04/Camphill-Scotland-Logo.png,"Represents and supports Camphill communities across Scotland, which provide living, learning, and working opportunities for people with disabilities.",Not Found,EH9 1SL,55.938,-3.189
Carinish & District Village Hall,community-energy-group,https://www.ucvo.org.uk/member/carinish-and-district-village-hall/,Not Found on Linked Page,A village hall providing a central space for community activities and events in Carinish and the surrounding district.,"Carinish Village Hall, Carinish, Isle of North Uist",HS6 5DX,57.575,-7.358
Carloway Community Association,community-energy-group,https://www.carlowaycommunity.com,https://static.wixstatic.com/media/b6957a_4e15f6c8d2074e0d9b5e52c8038f381f~mv2.png,"Manages community facilities and promotes social and economic development in Carloway, Isle of Lewis.","Carloway Community Centre, Carloway, Isle of Lewis",HS2 9AU,58.214,-6.776
Carloway Estate Trust,community-energy-group,https://www.carlowayestatetrust.co.uk,https://www.carlowayestatetrust.co.uk/wp-content/uploads/2019/04/Carloway-Estate-Trust-Logo.png,A community land trust managing the Carloway Estate for the benefit of the local residents.,"Carloway Estate Office, Carloway, Isle of Lewis",HS2 9AU,58.214,-6.776
Carluke Development Trust,community-energy-group,Not Found,Not Found,"Works to enhance the social, economic, and environmental well-being of Carluke and its surrounding area.",Not Found,ML8 4BZ,55.696,-3.791
Carr-Bridge Ahead,community-energy-group,https://www.carrbridge.com/carrbridge-ahead/,https://www.carrbridge.com/wp-content/uploads/2018/06/Carrbridge-Ahead-Logo.png,A community group dedicated to the ongoing development and improvement of Carr-Bridge.,Not Found,PH23 3AX,57.291,-3.896
Catrine Community Trust,community-energy-group,https://www.facebook.com/CatrineCommunityTrust/,https://scontent.flba1-1.fna.fbcdn.net/v/t39.30808-1/502898572_1110926941067901_840537972068332324_n.jpg?stp=dst-jpg_s480x480_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Xki7LuyvcusQ7kNvwEclcBo&_nc_oc=AdmeBeGEdTQny6g-nCXzKajwumUqjCS7Vz_vNPRsMkOts79HPDpN7OMpTM2nu9bdIXL1Y9bDNC9IHYzt1UYH_ZIM&_nc_zt=24&_nc_ht=scontent.flba1-1.fna&_nc_gid=icAdVwzGX79BoJ1GFOz3Zw&oh=00_AfMCP8914ipycInruAw-_KbqSYCXYhF7qwLOmYe4mWVmMA&oe=68649CDE,"Works for the economic, social, and environmental regeneration of the village of Catrine.",Not Found,KA5 6QT,55.518,-4.288
Centre for Sustainable Energy,community-energy-related,https://www.cse.org.uk,https://www.cse.org.uk/wp-content/uploads/2017/04/CSE-Logo.png,"A national charity providing advice and practical help to householders, communities, and local authorities on energy issues.","St James House, St James Barton, Bristol",BS1 3NN,51.4554,-2.593
Centrestage Music Theatre,community-energy-member,https://www.centrestagemt.org.uk,https://www.centrestagemt.org.uk/wp-content/uploads/2019/04/Centrestage-Logo.png,"A performing arts and community engagement charity providing opportunities in music, theatre, and arts.","Centrestage, 10-12 West George Street, Kilmarnock",KA1 1PL,55.607,-4.502
Changeworks,community-energy-related,https://www.changeworks.org.uk/,https://www.changeworks.org.uk/sites/default/files/styles/logo_mobile/public/2023-09/Changeworks%20logo%20full%20colour_0.png,A leading environmental charity that helps people and communities across Scotland to live and work more sustainably.,"36 Newhaven Road, Edinburgh",EH6 5PY,55.975,-3.175
Clan Macquarrie Community Centre,community-energy-member,https://www.clanmacq.com,https://static.wixstatic.com/media/efd2ae_05b92209d93645dd8d7d925e0a6e382d~mv2.png,"A community centre serving the local area, providing facilities and hosting events for residents.","Clan Macquarrie Community Centre, Borve, Isle of Lewis",HS2 0RQ,58.33,-6.42
Clean Heat Edinburgh Forum,community-energy-group,https://cleanheatedinburgh.org.uk/,https://cleanheatedinburgh.org.uk/wp-content/uploads/2023/10/CleanHeatEdinburgh-Logo.png,A collaborative forum working to accelerate the transition to clean and sustainable heating solutions in Edinburgh.,Not Found,EH1 1PN,55.9533,-3.1883
CLEAR Buckhaven,community-energy-group,https://www.clearfife.org/,https://usercontent.one/wp/www.clearfife.org/wp-content/uploads/2022/02/cropped-CLEARBMLogo-1.png,A community-led environmental group dedicated to the regeneration and improvement of Buckhaven.,"The CLEAR Hub, 109-111 Methilhaven Road, Buckhaven",KY8 1DP,56.177,-3.06
Clyde Regional Scout Council,community-energy-related,https://www.clydescouts.org.uk,https://www.clydescouts.org.uk/wp-content/uploads/2019/04/Clyde-Scouts-Logo.png,The regional body supporting and promoting Scouting activities across the Clyde region of Scotland.,"Clyde Regional Scout Council, 2177 Paisley Road West, Glasgow",G52 3PE,55.84,-4.33
Co-Chomunn Na Pairc,community-energy-group,https://www.facebook.com/PaircTrust,https://scontent.flba1-1.fna.fbcdn.net/v/t39.30808-6/327132899_545157157570897_2656433766553886138_n.png?_nc_cat=107&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=tqbMa01ZMJEQ7kNvwEfBbxS&_nc_oc=AdlqKSTMvRL7Vuwfwuzv8Qx9k3WK3GPvbfQx8fs_YbeUNHMkaT-M_K9XPT-jQ_0UQc4HSD7XFSxngUYK_bY8xnEa&_nc_zt=23&_nc_ht=scontent.flba1-1.fna&_nc_gid=Dc8cYBv7auVtfeT-J1Gp6w&oh=00_AfNp-kf5AbSLqW0f41MS8HVTlAMxHunJxP602HbHNBOTCg&oe=68646E34,"A community organization in Pairc, Isle of Lewis.",Not Found,HS2 9PX,58.077,-6.581
Coalburn Miners Welfare Charitable Society,community-energy-member,https://www.coalburnmw.org.uk/,https://www.coalburnmw.org.uk/wp-content/uploads/2019/04/Coalburn-Miners-Welfare-Logo.png,"A charitable society managing the Miners Welfare Hall, providing community facilities and events in Coalburn.","The Welfare Hall, Coalburn, Lanark",ML11 9PX,55.59,-3.79
Coigach Community Development Company,community-energy-group,https://www.coigachcommunity.com,https://www.coigachcommunity.com/wp-content/uploads/2019/04/Coigach-Community-Development-Company-Logo.png,A community development company working to sustain and enhance the remote peninsula of Coigach.,"Community Hall, Achiltibuie, Ullapool",IV26 2YL,58,-5.38
Colintraive & Glendaruel Development Trust,community-energy-group,https://www.cgdt.org,https://www.cgdt.org/wp-content/uploads/2019/04/CGDT-Logo.png,A community development trust working to improve the quality of life for residents in Colintraive and Glendaruel.,Not Found,PA22 6AE,55.94,-5.13
Coll Community Development Trust,community-energy-group,https://www.developmentcoll.org.uk,https://www.developmentcoll.org.uk/wp-content/uploads/2019/04/Development-Coll-Logo.png,"Works to promote the social, economic, and environmental well-being of the Isle of Coll.","An Cridhe, Coll",PA78 6SY,56.634,-6.536
Comann Eachdraidh Eirisgeidh,community-energy-group,https://www.eriskayheritage.scot/,https://www.eriskayheritage.scot/wp-content/uploads/2021/04/Eriskay-Heritage-Logo.png,The Eriskay Historical Society (Comann Eachdraidh Eirisgeidh) preserves and promotes the history and culture of Eriskay.,"Eriskay Community Hall, Eriskay, Isle of South Uist",HS8 5JL,57.06,-7.26
Comann Eachdraidh Uibhist a Tuath,community-energy-group,https://www.ceut.scot,https://www.ceut.scot/wp-content/uploads/2019/04/CEUT-Logo.png,The North Uist Historical Society (Comann Eachdraidh Uibhist a Tuath) preserves and promotes the history and culture of North Uist.,"Kilmory, Lochmaddy, Isle of North Uist",HS6 5AA,57.575,-7.159
Community Central Hall,community-energy-member,https://www.centralhall.org/,https://www.centralhall.org/wp-content/uploads/2019/04/Community-Central-Hall-Logo.png,"A community hub in Glasgow providing a range of services, facilities, and activities for the local community.","292-316 Maryhill Road, Glasgow",G20 7YE,55.877,-4.275
Community Infosource,community-energy-related,https://www.infosource.org.uk,Not Found on Website,"Provides information, advice, and support to community groups and charities in Scotland.",Not Found,G32 8ET,55.85,-4.1
Comraich,community-energy-group,https://www.comraich.co/,Not Found on Website,A charity supporting care-experienced young people to thrive by providing stable homes and support.,Not Found,KA3 1LN,55.59,-4.48
Comrie Development Trust,community-energy-group,https://www.comriedevelopmenttrust.org.uk,https://www.comriedevelopmenttrust.org.uk/wp-content/uploads/2019/04/Comrie-Development-Trust-Logo.png,"Works to promote the economic, social, and environmental well-being of the village of Comrie.","The White Church, Dundas Street, Comrie",PH6 2EE,56.368,-3.985
Comunn Eachdraidh Nis,community-energy-group,https://www.nesshistorical.co.uk,https://www.nesshistorical.co.uk/wp-content/uploads/2019/04/Ness-Historical-Society-Logo.png,"The Ness Historical Society (Comunn Eachdraidh Nis) preserves and promotes the history and heritage of Ness, Isle of Lewis.","Ness Historical Society, Cross, Isle of Lewis",HS2 0TB,58.38,-6.28
Contin Community Trust,community-energy-member,https://www.continhall.org,Not Found on Website,"Manages the Contin Community Hall, providing a venue for local events and activities.","Contin Community Hall, Contin",IV14 9ES,57.574,-4.595
Cothrom Ltd,community-energy-member,https://www.cothrom.net,https://www.cothrom.net/wp-content/uploads/2019/04/Cothrom-Ltd-Logo.png,"Provides a range of learning, training, and community development services in Uist.","Cothrom Learning Centre, Ormiclete, Isle of South Uist",HS8 5RP,57.25,-7.35
Coversea Lighthouse Community Company Limited,community-energy-member,https://www.covesealighthouse.co.uk/,https://www.covesealighthouse.co.uk/wp-content/uploads/2019/04/Covesea-Lighthouse-Logo.png,Manages and preserves Covesea Lighthouse as a visitor attraction and community asset.,"Covesea Lighthouse, Lossiemouth",IV31 6SP,57.73,-3.25
Cowal Community Energy,community-energy-group,Not Found,Not Found,A community-led initiative focused on developing renewable energy projects in the Cowal peninsula.,Not Found,PA23 8QD,56.027,-4.945
Craigie Community Council,community-energy-related,Not Found,Not Found,"A community council serving the Craigie area, representing local interests and addressing community issues.",Not Found,KA1 5LY,55.457,-4.588
Creetown Initiative Ltd,community-energy-group,https://www.creetowninitiative.co.uk,https://www.creetowninitiative.co.uk/wp-content/uploads/2019/04/Creetown-Initiative-Logo.png,A community development trust working to regenerate Creetown and improve the quality of life for its residents.,"100-102 St Johns St, Creetown, Newton Stewart",DG8 7HJ,54.887,-4.27
Cromarty Hall Trust,community-energy-member,https://www.cromartyhall.co.uk/,Not Found on Website,"A trust managing Cromarty Hall, which serves as a community venue for events and activities in Orkney.","Cromarty Hall, St Ola, Orkney",KW15 1SF,58.98,-2.96
Crovie Preservation Society Limited,community-energy-member,https://www.charitychoice.co.uk/crovie,Not Found on Linked Page,Dedicated to the preservation and maintenance of the historic fishing village of Crovie.,Not Found,AB45 3QT,57.697,-2.257
Cumbrae Community Development Company,community-energy-group,https://www.communitylandscotland.org.uk/members/cumbrae-community-development-company/,Not Found,"Works to enhance the social, economic, and environmental well-being of the Isle of Cumbrae.","The Garrison House, Millport, Isle of Cumbrae",KA28 0AE,55.753,-4.92
Cumnock & District Leisure Group,community-energy-member,Not Found,Not Found,A group focused on providing leisure and recreational opportunities within Cumnock and the surrounding district.,Not Found,KA18 1DY,55.467,-4.273
